// ================================================== //
// #		GameServer 1.00.90		    # //
// #		Imagination Arts		    # //
// #		Julia Project 1.1.x		    # //
// ================================================== //
// #	http://imaginationarts.net/forum/	    # //
// #	http://mu.raklion.ru/			    # //
// ================================================== //
1	
//Type	Index
0	26
0	27
0	28
2	16
2	17
4	23
5	30
5	31
5	32
6	17
6	18
6	19
6	20
7	45
7	46
7	49
7	50
7	51
7	52
7	53
8	45
8	46
8	47
8	48
8	49
8	50
8	51
8	52
8	53
9	45
9	46
9	47
9	48
9	49
9	50
9	51
9	52
9	53
10	45
10	46
10	47
10	48
10	49
10	50
10	51
10	52
10	53
11	45
11	46
11	47
11	48
11	49
11	50
11	51
11	52
11	53
end
